"","X","Y","animal.id","jdate","pres_bkg","MAP_LABEL","conif","age_class","cc_class","HARVEST_YEAR","WATERBODY_TYPE","STREAM_ORDER","ROAD_SURFACE","layer","focal_sum","elevation","slope","aspect","TRI"
"1",1164855.21898892,1211860.4097835,"SC_car168",15789,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,1.57730449413201,NA,1411.42321777344,14.0822801589966,2.04594087600708,4.80975341796875
"2",1164599.35184798,1211887.66530687,"SC_car168",15790,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.62588461925345,NA,1392.46606445312,13.354154586792,320.360717773438,4.42005920410156
"3",1165701.77420166,1212694.39744545,"SC_car168",15791,1,"ESSFwcp","TC",8,3,NA,NA,NA,NA,0.905346945930157,NA,1601.21020507812,8.43060111999512,138.105758666992,2.71852111816406
"4",1165753.59116165,1212485.81590077,"SC_car168",15792,1,"ESSFwcp","TC",8,3,NA,NA,NA,NA,1.09900659347661,NA,1575.20812988281,5.0379056930542,95.4030227661133,1.78492736816406
"5",1165667.57320097,1213029.19462284,"SC_car168",15793,1,"ESSFwcp",NA,8,1,NA,NA,NA,NA,0.614700365771873,NA,1634.01013183594,9.45310497283936,94.128173828125,3.19732666015625
"6",1165760.68568385,1212577.45876891,"SC_car168",15794,1,"ESSFwcp","TC",8,3,NA,NA,NA,NA,1.01574095738287,NA,1583.30004882812,6.97837352752686,175.275100708008,2.33085632324219
"7",1164574.39640629,1212357.35876455,"SC_car168",15795,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.20175072323883,NA,1352.11901855469,14.2392730712891,293.548614501953,5.38645935058594
"8",1163775.87652974,1211074.72718548,"SC_car168",15796,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88115503395784,NA,1735.74743652344,20.621940612793,68.2325134277344,8.44235229492188
"9",1163708.65675647,1210752.67631415,"SC_car168",15797,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.82713194332895,NA,1833.11083984375,29.4899654388428,52.4179000854492,10.7125244140625
"10",1164919.47236969,1212322.85702402,"SC_car168",15798,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,1.12629204348119,NA,1428.02368164062,10.3661441802979,258.131408691406,3.58773803710938
"11",1163947.45652747,1211526.68641235,"SC_car168",15799,1,"ESSFwc3",NA,8,0,NA,NA,NA,NA,2.09076639855581,NA,1438.34387207031,20.0369071960449,1.36788523197174,6.91732788085938
"12",1164349.80936379,1211460.49486395,"SC_car168",15800,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,2.11275914271479,NA,1453.20153808594,19.2877464294434,265.433410644531,6.92686462402344
"13",1165981.82729818,1211933.43017262,"SC_car168",15801,1,"ESSFwc3",NA,9,1,NA,NA,NA,NA,1.68700486814491,NA,1523.82275390625,20.7741985321045,111.290603637695,7.57025146484375
"14",1167022.20965189,1212108.16788128,"SC_car168",15802,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.24962675563753,NA,1393.90051269531,11.5982131958008,106.329727172852,3.97032165527344
"15",1167075.67654397,1212025.12381666,"SC_car168",15803,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.35436958434318,NA,1397.8759765625,10.9617166519165,1.17511475086212,3.79240417480469
"16",1167156.4610441,1211887.03273191,"SC_car168",15804,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.50459037363005,NA,1420.2412109375,14.4927453994751,20.1888999938965,5.06320190429688
"17",1167618.72339434,1211210.09311188,"SC_car168",15805,1,"ESSFwcp","TC",8,2,NA,NA,NA,NA,3.11268901071282,NA,1606.66748046875,10.4786920547485,83.2422485351562,3.63139343261719
"18",1167695.42207967,1211121.00984799,"SC_car168",15806,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,3.20141491803427,NA,1586.40600585938,23.0639305114746,85.2439422607422,8.18643188476562
"19",1166267.90753576,1211289.1509164,"SC_car168",15807,1,"ESSFwcp","TC",9,2,NA,NA,NA,NA,2.38996409494881,NA,1596.38330078125,30.1843090057373,41.3979148864746,10.6676788330078
"20",1166541.55959652,1211336.92478762,"SC_car168",15808,1,"ESSFwcp","TC",9,4,NA,NA,NA,NA,2.48546466329843,NA,1547.36315917969,12.5094738006592,328.241180419922,4.2900390625
"21",1166624.80086802,1211517.12455854,"SC_car168",15809,1,"ESSFwc3","TC",9,4,NA,NA,NA,NA,2.38529256958243,NA,1527.80944824219,9.99922561645508,332.213165283203,3.49607849121094
"22",1166566.53073475,1211336.98383454,"SC_car168",15810,1,"ESSFwcp","TC",9,4,NA,NA,NA,NA,2.49923088019198,NA,1550.20568847656,14.8960218429565,324.002471923828,5.03765869140625
"23",1167082.54541788,1212051.51373766,"SC_car168",15811,1,"ESSFwc3","TC",9,5,NA,NA,NA,NA,2.33971061024227,NA,1393.41027832031,9.68036079406738,3.68512296676636,3.38768005371094
"24",1166283.25160458,1211398.20771574,"SC_car168",15812,1,"ESSFwcp","TC",9,3,NA,NA,NA,NA,2.31349061488143,NA,1548.58837890625,15.5115842819214,23.4054660797119,5.47862243652344
"25",1166460.6103237,1211479.02481876,"SC_car168",15813,1,"ESSFwc3","TC",9,3,NA,NA,NA,NA,2.31895336143381,NA,1520.00146484375,5.6752028465271,346.422943115234,1.88288879394531
"26",1165267.30438005,1211142.19732383,"SC_car168",15814,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.27586223394127,NA,1809.66369628906,7.47083330154419,112.73055267334,2.72842407226562
"27",1165437.75906051,1210257.11717679,"SC_car168",15815,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,3.16067608398587,NA,1520.05346679688,6.50908279418945,95.9355773925781,2.35246276855469
"28",1165438.91793036,1210018.27374704,"SC_car168",15816,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,3.40979358728359,NA,1526.97888183594,7.94617080688477,17.5532817840576,2.77131652832031
"29",1166254.67584692,1209437.67579386,"SC_car168",15817,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.81684019395379,NA,1827.41845703125,20.1431064605713,326.528472900391,10.4100189208984
"30",1167555.64463675,1209426.75873954,"SC_car168",15818,1,"ESSFwcp",NA,8,1,NA,NA,NA,NA,2.15691684734877,NA,1652.67309570312,10.9444389343262,167.002395629883,3.59828186035156
"31",1167094.13988971,1209239.50582631,"SC_car168",15819,1,"ESSFwcp",NA,8,1,NA,NA,NA,NA,2.16232118161249,NA,1748.30786132812,29.6930446624756,165.698806762695,10.9901885986328
"32",1165285.26405392,1210437.32716672,"SC_car168",15820,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,2.97628910018503,NA,1560.8828125,14.22474193573,129.827484130859,5.63322448730469
"33",1166469.76416372,1211381.0474222,"SC_car168",15821,1,"ESSFwc3","TC",9,3,NA,NA,NA,NA,2.40283800796166,NA,1529.25537109375,9.80700016021729,332.743865966797,3.39410400390625
"34",1166735.63379612,1211447.56128739,"SC_car168",15822,1,"ESSFwcp","TC",9,2,NA,NA,NA,NA,2.52099424682112,NA,1572.14892578125,29.3407249450684,307.906494140625,10.3478546142578
"35",1165009.42624613,1210699.61503796,"SC_car168",15823,1,"ESSFwcp",NA,8,0,NA,NA,NA,NA,2.72773277794585,NA,1598.88842773438,18.5886306762695,77.6147537231445,6.63235473632812
"36",1165332.35113722,1210669.18845327,"SC_car168",15824,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,2.75424111288032,NA,1563.13464355469,19.9260330200195,143.503829956055,6.80061340332031
"37",1164719.28321684,1209841.11199069,"SC_car168",15825,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.05258379710254,NA,1746.29321289062,13.8403806686401,178.561538696289,4.75567626953125
"38",1165287.21736799,1210438.41437281,"SC_car168",15826,1,"ESSFwc3","TC",8,2,NA,NA,NA,NA,2.97628910018503,NA,1560.8828125,14.22474193573,129.827484130859,5.63322448730469
"39",1165591.17106023,1210431.26942132,"SC_car168",15827,1,"ESSFwc3","TC",8,3,NA,NA,NA,NA,3.0039396145529,NA,1468.31164550781,15.7246160507202,80.3545532226562,5.52615356445312
"40",1166572.0425143,1209396.97173448,"SC_car168",15828,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.58376216832162,NA,1828.68298339844,16.3863334655762,179.456146240234,5.60906982421875
"41",1166444.11949845,1209563.17270361,"SC_car168",15829,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.79853687530646,NA,1780.62854003906,30.287281036377,342.698028564453,11.5999908447266
"42",1167420.69685093,1209311.6115741,"SC_car168",15830,1,"ESSFwcp",NA,8,1,NA,NA,NA,NA,2.08802719962575,NA,1689.818359375,9.12652778625488,67.9063339233398,3.08865356445312
"43",1165090.19984941,1209315.86967068,"SC_car168",15831,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.61952755043153,NA,1896.5,20.3692626953125,207.384567260742,7.46034240722656
"44",1164466.40227388,1210315.16314969,"SC_car168",15832,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.65737171625141,NA,1848.88952636719,14.8083791732788,135.820907592773,5.18026733398438
"45",1164397.36979677,1210341.33529764,"SC_car168",15833,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.578396165901,NA,1849.49755859375,30.2442893981934,237.236206054688,11.2431335449219
"46",1164492.91121918,1209949.92275445,"SC_car168",15834,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.80638696339848,NA,1740.28259277344,21.2697772979736,218.186889648438,7.23661804199219
"47",1166475.91978824,1209426.00753815,"SC_car168",15835,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.66976974521213,NA,1834.86450195312,4.25115489959717,356.623931884766,2.65177917480469
"48",1166072.07849562,1209362.65738634,"SC_car168",15836,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.90344888508023,NA,1794.19738769531,11.4839401245117,2.96975946426392,6.32136535644531
"49",1164503.37568497,1210197.29019836,"SC_car168",15837,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.74172639742425,NA,1815.03686523438,20.342700958252,129.77946472168,6.74424743652344
"50",1164965.32516312,1211243.77686883,"SC_car168",15838,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.18276542667327,NA,1786.70910644531,3.900057554245,227.520248413086,1.28158569335938
"51",1165523.74429061,1211242.43914699,"SC_car168",15839,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.20173075281247,NA,1814.95983886719,9.02583980560303,259.507751464844,2.99980163574219
"52",1165518.58986798,1211246.23559226,"SC_car168",15840,1,"ESSFwc3",NA,NA,NA,NA,NA,NA,NA,2.20173075281247,NA,1814.95983886719,9.02583980560303,259.507751464844,2.99980163574219
"53",1164715.47484843,1209460.52828439,"SC_car168",15841,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.21873800399052,NA,1792.70825195312,21.725564956665,320.957855224609,8.17573547363281
"54",1165989.21283985,1209385.23007875,"SC_car168",15842,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.97520261129787,NA,1783.24877929688,29.5154781341553,4.29224109649658,11.085693359375
"55",1166870.57457162,1209329.36844036,"SC_car168",15843,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.36627044998031,NA,1807.39404296875,22.8885021209717,151.853958129883,7.899169921875
"56",1166569.40978581,1209411.91619722,"SC_car168",15844,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.60334703649937,NA,1832.68640136719,3.24052619934082,148.716125488281,2.35934448242188
"57",1167046.54467281,1209301.72174783,"SC_car168",15845,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.25229734769858,NA,1764.06958007812,5.70964622497559,68.6396026611328,2.03935241699219
"58",1166197.78735347,1209365.99644883,"SC_car168",15846,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.81421968372649,NA,1805.60314941406,17.2114582061768,210.340911865234,5.98580932617188
"59",1165960.0140517,1209296.66089043,"SC_car168",15847,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.92678078753323,NA,1764.28979492188,24.987829208374,186.562301635742,9.4320068359375
"60",1166109.86157851,1209343.18544992,"SC_car168",15848,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.85004155728888,NA,1788.99853515625,18.2666454315186,188.043380737305,6.297119140625
"61",1166729.26492949,1209340.42191317,"SC_car168",15849,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.43779523185399,NA,1803.30419921875,29.078592300415,181.407943725586,10.5964050292969
"62",1164471.94982934,1209973.1211066,"SC_car168",15850,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.77361025350227,NA,1741.78820800781,21.6306953430176,219.02099609375,7.35281372070312
"63",1164295.90630253,1210307.90945819,"SC_car168",15851,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.48950526979418,NA,1772.61767578125,40.2236175537109,242.724548339844,16.5524291992188
"64",1163922.47133945,1210492.76926868,"SC_car168",15852,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,2.0805561848537,NA,1864.53625488281,25.0851631164551,128.704544067383,9.18766784667969
"65",1163772.88471393,1210957.16173405,"SC_car168",15853,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.85762699117262,NA,1753.53869628906,31.1323928833008,330.031951904297,12.4108734130859
"66",1163776.25292433,1210995.44706004,"SC_car168",15854,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.8817512557012,NA,1750.375,12.7991304397583,26.1203308105469,8.2752685546875
"67",1163722.89445675,1210887.78354086,"SC_car168",15855,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.81240879448678,NA,1793.30065917969,18.2893238067627,29.466157913208,7.44207763671875
"68",1163707.50032849,1210826.90381272,"SC_car168",15856,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.81728089142351,NA,1808.68969726562,24.3841667175293,41.7710762023926,9.38275146484375
"69",1163680.95021882,1210911.09236807,"SC_car168",15857,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.78554800784886,NA,1781.87719726562,31.0334434509277,328.747406005859,11.6046905517578
"70",1163790.21679691,1210948.86581478,"SC_car168",15858,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88379191747205,NA,1757.49682617188,24.7197856903076,71.1182022094727,9.51324462890625
"71",1163788.92341353,1211073.27527994,"SC_car168",15859,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88115503395784,NA,1735.74743652344,20.621940612793,68.2325134277344,8.44235229492188
"72",1163787.97469885,1211072.23044935,"SC_car168",15860,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88115503395784,NA,1735.74743652344,20.621940612793,68.2325134277344,8.44235229492188
"73",1163773.82051698,1210935.11903242,"SC_car168",15861,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.85882896962927,NA,1766.26611328125,23.7926788330078,13.8979864120483,11.2150421142578
"74",1163707.94741928,1210839.9711298,"SC_car168",15862,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.81728089142351,NA,1808.68969726562,24.3841667175293,41.7710762023926,9.38275146484375
"75",1163787.55221611,1211035.0740272,"SC_car168",15863,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88102607950685,NA,1739.43334960938,17.2787933349609,45.627872467041,8.01803588867188
"76",1163804.8712813,1211003.69064247,"SC_car168",15864,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.90622599350996,NA,1734.58752441406,31.2838191986084,59.9316329956055,11.9178924560547
"77",1163812.23722408,1210947.79465488,"SC_car168",15865,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.90875583517983,NA,1742.23266601562,31.2635765075684,86.6876602172852,11.5402374267578
"78",1163771.7895751,1211053.47446056,"SC_car168",15866,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.8561567988144,NA,1734.17883300781,26.4334335327148,275.016418457031,9.83540344238281
"79",1163780.80585745,1211052.85486458,"SC_car168",15867,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,1.88115503395784,NA,1735.74743652344,20.621940612793,68.2325134277344,8.44235229492188
"80",1165195.59601089,1209280.20349414,"SC_car168",15868,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.54706644683656,NA,1889.52099609375,19.3512878417969,169.329666137695,6.71675109863281
"81",1165407.1046649,1209356.45233084,"SC_car168",15869,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.40392670724176,NA,1878.486328125,5.42260980606079,85.5600433349609,4.31948852539062
"82",1165409.65170208,1209226.07353913,"SC_car168",15870,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.33195742443893,NA,1839.89953613281,30.2953357696533,161.033157348633,11.7400360107422
"83",1165217.97499566,1209294.20484777,"SC_car168",15871,1,"BAFAun",NA,NA,NA,NA,NA,NA,NA,3.52610178217727,NA,1888.77880859375,22.9435176849365,167.997467041016,8.13856506347656
