location.long,location.lat,animal.id,animal.sex,animal.reproductive.condition,date_time,year,month,day,hour,minute,season,time,diff,date2,jdate
-123.356822,55.8783594,SC_car168,f,with calf: N,2013-03-25T10:02:00Z,2013,3,25,10,2,winter,2013-03-25T10:02:00Z,7.966666666666667,2013-03-25,15789
-123.3633856,55.87432382,SC_car168,f,with calf: N,2013-03-26T10:04:00Z,2013,3,26,10,4,winter,2013-03-26T10:04:00Z,24.033333333333335,2013-03-26,15790
-123.3367434,55.8817225,SC_car168,f,with calf: N,2013-03-27T02:02:00Z,2013,3,27,2,2,winter,2013-03-27T02:02:00Z,8,2013-03-27,15791
-123.3445546,55.87929286,SC_car168,f,with calf: N,2013-03-28T02:01:00Z,2013,3,28,2,1,winter,2013-03-28T02:01:00Z,8,2013-03-28,15792
-123.3472874,55.88101933,SC_car168,f,with calf: N,2013-03-29T10:01:00Z,2013,3,29,10,1,winter,2013-03-29T10:01:00Z,7.983333333333333,2013-03-29,15793
-123.344386,55.88011099,SC_car168,f,with calf: N,2013-03-30T02:01:00Z,2013,3,30,2,1,winter,2013-03-30T02:01:00Z,8,2013-03-30,15794
-123.3635049,55.87853753,SC_car168,f,with calf: N,2013-03-31T02:03:00Z,2013,3,31,2,3,winter,2013-03-31T02:03:00Z,16.033333333333335,2013-03-31,15795
-123.3770465,55.86731921,SC_car168,f,with calf: N,2013-04-01T02:04:00Z,2013,4,1,2,4,spring,2013-04-01T02:04:00Z,24.016666666666666,2013-04-01,15796
-123.3596167,55.87290625,SC_car168,f,with calf: N,2013-04-02T10:02:00Z,2013,4,2,10,2,spring,2013-04-02T10:02:00Z,8.016666666666667,2013-04-02,15797
-123.3580025,55.87811338,SC_car168,f,with calf: N,2013-04-03T10:02:00Z,2013,4,3,10,2,spring,2013-04-03T10:02:00Z,7.983333333333333,2013-04-03,15798
-123.368023,55.87121016,SC_car168,f,with calf: N,2013-04-04T02:02:00Z,2013,4,4,2,2,spring,2013-04-04T02:02:00Z,16,2013-04-04,15799
-123.3677697,55.87147148,SC_car168,f,with calf: N,2013-04-05T10:01:00Z,2013,4,5,10,1,spring,2013-04-05T10:01:00Z,7.983333333333333,2013-04-05,15800
-123.3412338,55.87427041,SC_car168,f,with calf: N,2013-04-06T10:04:00Z,2013,4,6,10,4,spring,2013-04-06T10:04:00Z,24.05,2013-04-06,15801
-123.3244786,55.87548378,SC_car168,f,with calf: N,2013-04-07T18:03:00Z,2013,4,7,18,3,spring,2013-04-07T18:03:00Z,16.016666666666666,2013-04-07,15802
-123.3192022,55.87521904,SC_car168,f,with calf: N,2013-04-08T02:01:00Z,2013,4,8,2,1,spring,2013-04-08T02:01:00Z,7.966666666666667,2013-04-08,15803
-123.3336508,55.86967281,SC_car168,f,with calf: N,2013-04-09T10:02:00Z,2013,4,9,10,2,spring,2013-04-09T10:02:00Z,7.983333333333333,2013-04-09,15804
-123.3157744,55.86641341,SC_car168,f,with calf: N,2013-04-10T10:01:00Z,2013,4,10,10,1,spring,2013-04-10T10:01:00Z,8,2013-04-10,15805
-123.3158464,55.86544283,SC_car168,f,with calf: N,2013-04-11T18:02:00Z,2013,4,11,18,2,spring,2013-04-11T18:02:00Z,8.016666666666667,2013-04-11,15806
-123.3492546,55.8686771,SC_car168,f,with calf: N,2013-04-12T02:01:00Z,2013,4,12,2,1,spring,2013-04-12T02:01:00Z,7.983333333333333,2013-04-12,15807
-123.3319375,55.86927311,SC_car168,f,with calf: N,2013-04-13T18:01:00Z,2013,4,13,18,1,spring,2013-04-13T18:01:00Z,7.983333333333333,2013-04-13,15808
-123.3355037,55.87142887,SC_car168,f,with calf: N,2013-04-14T18:01:00Z,2013,4,14,18,1,spring,2013-04-14T18:01:00Z,7.983333333333333,2013-04-14,15809
-123.3322365,55.86873319,SC_car168,f,with calf: N,2013-04-15T10:01:00Z,2013,4,15,10,1,spring,2013-04-15T10:01:00Z,8,2013-04-15,15810
-123.325298,55.87599378,SC_car168,f,with calf: N,2013-04-16T02:01:00Z,2013,4,16,2,1,spring,2013-04-16T02:01:00Z,7.983333333333333,2013-04-16,15811
-123.3367324,55.86937689,SC_car168,f,with calf: N,2013-04-17T10:03:00Z,2013,4,17,10,3,spring,2013-04-17T10:03:00Z,16.033333333333335,2013-04-17,15812
-123.3302156,55.86785808,SC_car168,f,with calf: N,2013-04-18T18:03:00Z,2013,4,18,18,3,spring,2013-04-18T18:03:00Z,16,2013-04-18,15813
-123.3531423,55.86742605,SC_car168,f,with calf: N,2013-04-19T02:01:00Z,2013,4,19,2,1,spring,2013-04-19T02:01:00Z,7.966666666666667,2013-04-19,15814
-123.3509451,55.85944448,SC_car168,f,with calf: N,2013-04-20T10:01:00Z,2013,4,20,10,1,spring,2013-04-20T10:01:00Z,7.95,2013-04-20,15815
-123.3539887,55.85858217,SC_car168,f,with calf: N,2013-04-21T02:03:00Z,2013,4,21,2,3,spring,2013-04-21T02:03:00Z,16.033333333333335,2013-04-21,15816
-123.3383697,55.85183328,SC_car168,f,with calf: N,2013-04-22T02:01:00Z,2013,4,22,2,1,spring,2013-04-22T02:01:00Z,8,2013-04-22,15817
-123.3417406,55.84826581,SC_car168,f,with calf: N,2013-04-23T02:03:00Z,2013,4,23,2,3,spring,2013-04-23T02:03:00Z,16.033333333333335,2013-04-23,15818
-123.3499897,55.85801855,SC_car168,f,with calf: N,2013-04-24T18:02:00Z,2013,4,24,18,2,spring,2013-04-24T18:02:00Z,8.016666666666667,2013-04-24,15819
-123.3532768,55.86110906,SC_car168,f,with calf: N,2013-04-25T18:04:00Z,2013,4,25,18,4,spring,2013-04-25T18:04:00Z,24.033333333333335,2013-04-25,15820
-123.3337583,55.86916036,SC_car168,f,with calf: N,2013-04-26T18:01:00Z,2013,4,26,18,1,spring,2013-04-26T18:01:00Z,7.983333333333333,2013-04-26,15821
-123.3294639,55.86966611,SC_car168,f,with calf: N,2013-04-27T02:01:00Z,2013,4,27,2,1,spring,2013-04-27T02:01:00Z,8,2013-04-27,15822
-123.357533,55.86354973,SC_car168,f,with calf: N,2013-04-28T18:02:00Z,2013,4,28,18,2,spring,2013-04-28T18:02:00Z,7.95,2013-04-28,15823
-123.3537893,55.86125135,SC_car168,f,with calf: N,2013-04-29T10:02:00Z,2013,4,29,10,2,spring,2013-04-29T10:02:00Z,8.016666666666667,2013-04-29,15824
-123.3547372,55.85831944,SC_car168,f,with calf: N,2013-04-30T10:01:00Z,2013,4,30,10,1,spring,2013-04-30T10:01:00Z,8,2013-04-30,15825
-123.3628372,55.85664255,SC_car168,f,with calf: N,2013-05-01T10:01:00Z,2013,5,1,10,1,spring,2013-05-01T10:01:00Z,8,2013-05-01,15826
-123.3487234,55.86111306,SC_car168,f,with calf: N,2013-05-02T10:02:00Z,2013,5,2,10,2,spring,2013-05-02T10:02:00Z,8.016666666666667,2013-05-02,15827
-123.3333182,55.85136186,SC_car168,f,with calf: N,2013-05-03T10:01:00Z,2013,5,3,10,1,spring,2013-05-03T10:01:00Z,7.983333333333333,2013-05-03,15828
-123.3554378,55.85806584,SC_car168,f,with calf: N,2013-05-04T02:01:00Z,2013,5,4,2,1,spring,2013-05-04T02:01:00Z,8,2013-05-04,15829
-123.3197966,55.85031053,SC_car168,f,with calf: N,2013-05-05T02:01:00Z,2013,5,5,2,1,spring,2013-05-05T02:01:00Z,7.983333333333333,2013-05-05,15830
-123.3570676,55.85113351,SC_car168,f,with calf: N,2013-05-06T10:01:00Z,2013,5,6,10,1,spring,2013-05-06T10:01:00Z,7.983333333333333,2013-05-06,15831
-123.3664499,55.86028883,SC_car168,f,with calf: N,2013-05-07T10:03:00Z,2013,5,7,10,3,spring,2013-05-07T10:03:00Z,16.033333333333335,2013-05-07,15832
-123.3623545,55.85627558,SC_car168,f,with calf: N,2013-05-08T18:02:00Z,2013,5,8,18,2,spring,2013-05-08T18:02:00Z,8,2013-05-08,15833
-123.3649968,55.85695963,SC_car168,f,with calf: N,2013-05-09T02:01:00Z,2013,5,9,2,1,spring,2013-05-09T02:01:00Z,7.983333333333333,2013-05-09,15834
-123.3348381,55.85165425,SC_car168,f,with calf: N,2013-05-10T18:01:00Z,2013,5,10,18,1,spring,2013-05-10T18:01:00Z,8,2013-05-10,15835
-123.3387657,55.85144582,SC_car168,f,with calf: N,2013-05-11T10:02:00Z,2013,5,11,10,2,spring,2013-05-11T10:02:00Z,8.016666666666667,2013-05-11,15836
-123.3653156,55.8619994,SC_car168,f,with calf: N,2013-05-12T18:01:00Z,2013,5,12,18,1,spring,2013-05-12T18:01:00Z,8,2013-05-12,15837
-123.3579135,55.86843658,SC_car168,f,with calf: N,2013-05-13T02:01:00Z,2013,5,13,2,1,spring,2013-05-13T02:01:00Z,8,2013-05-13,15838
-123.3490312,55.86871367,SC_car168,f,with calf: N,2013-05-14T18:01:00Z,2013,5,14,18,1,spring,2013-05-14T18:01:00Z,7.95,2013-05-14,15839
-123.3490592,55.86827332,SC_car168,f,with calf: N,2013-05-15T02:01:00Z,2013,5,15,2,1,spring,2013-05-15T02:01:00Z,8,2013-05-15,15840
-123.359975,55.86844854,SC_car168,f,with calf: N,2013-05-16T02:01:00Z,2013,5,16,2,1,spring,2013-05-16T02:01:00Z,7.983333333333333,2013-05-16,15841
-123.3426471,55.85145305,SC_car168,f,with calf: N,2013-05-17T02:02:00Z,2013,5,17,2,2,spring,2013-05-17T02:02:00Z,8.016666666666667,2013-05-17,15842
-123.3405284,55.85392986,SC_car168,f,with calf: N,2013-05-18T18:01:00Z,2013,5,18,18,1,spring,2013-05-18T18:01:00Z,7.983333333333333,2013-05-18,15843
-123.3326107,55.85080669,SC_car168,f,with calf: N,2013-05-19T02:02:00Z,2013,5,19,2,2,spring,2013-05-19T02:02:00Z,8.016666666666667,2013-05-19,15844
-123.342054,55.8512121,SC_car168,f,with calf: N,2013-05-20T18:02:00Z,2013,5,20,18,2,spring,2013-05-20T18:02:00Z,8.016666666666667,2013-05-20,15845
-123.3393227,55.85121067,SC_car168,f,with calf: N,2013-05-21T18:01:00Z,2013,5,21,18,1,spring,2013-05-21T18:01:00Z,8,2013-05-21,15846
-123.3434544,55.85062416,SC_car168,f,with calf: N,2013-05-22T10:02:00Z,2013,5,22,10,2,spring,2013-05-22T10:02:00Z,8.016666666666667,2013-05-22,15847
-123.3504032,55.85071239,SC_car168,f,with calf: N,2013-05-23T02:01:00Z,2013,5,23,2,1,spring,2013-05-23T02:01:00Z,8,2013-05-23,15848
-123.3460332,55.85502868,SC_car168,f,with calf: N,2013-05-24T18:02:00Z,2013,5,24,18,2,spring,2013-05-24T18:02:00Z,8.016666666666667,2013-05-24,15849
-123.3665648,55.85722453,SC_car168,f,with calf: N,2013-05-25T02:01:00Z,2013,5,25,2,1,spring,2013-05-25T02:01:00Z,7.983333333333333,2013-05-25,15850
-123.3691818,55.86028067,SC_car168,f,with calf: N,2013-05-26T02:01:00Z,2013,5,26,2,1,spring,2013-05-26T02:01:00Z,7.983333333333333,2013-05-26,15851
-123.3769131,55.8618027,SC_car168,f,with calf: N,2013-05-27T10:01:00Z,2013,5,27,10,1,spring,2013-05-27T10:01:00Z,8,2013-05-27,15852
-123.3771641,55.86626758,SC_car168,f,with calf: N,2013-05-28T10:01:00Z,2013,5,28,10,1,spring,2013-05-28T10:01:00Z,8,2013-05-28,15853
-123.3769925,55.86669939,SC_car168,f,with calf: N,2013-05-29T02:01:00Z,2013,5,29,2,1,spring,2013-05-29T02:01:00Z,7.983333333333333,2013-05-29,15854
-123.3772251,55.86597088,SC_car168,f,with calf: N,2013-05-30T10:02:00Z,2013,5,30,10,2,spring,2013-05-30T10:02:00Z,8.016666666666667,2013-05-30,15855
-123.3782875,55.86512301,SC_car168,f,with calf: N,2013-05-31T10:03:00Z,2013,5,31,10,3,spring,2013-05-31T10:03:00Z,16.033333333333335,2013-05-31,15856
-123.3776052,55.86561929,SC_car168,f,with calf: N,2013-06-01T18:01:00Z,2013,6,1,18,1,summer,2013-06-01T18:01:00Z,7.983333333333333,2013-06-01,15857
-123.3768917,55.86618755,SC_car168,f,with calf: N,2013-06-02T02:01:00Z,2013,6,2,2,1,summer,2013-06-02T02:01:00Z,8,2013-06-02,15858
-123.3770139,55.86725641,SC_car168,f,with calf: N,2013-06-03T10:01:00Z,2013,6,3,10,1,summer,2013-06-03T10:01:00Z,8,2013-06-03,15859
-123.3769026,55.86731066,SC_car168,f,with calf: N,2013-06-04T02:01:00Z,2013,6,4,2,1,summer,2013-06-04T02:01:00Z,8,2013-06-04,15860
-123.3765634,55.86694331,SC_car168,f,with calf: N,2013-06-05T10:01:00Z,2013,6,5,10,1,summer,2013-06-05T10:01:00Z,7.983333333333333,2013-06-05,15861
-123.3782726,55.86523986,SC_car168,f,with calf: N,2013-06-06T02:01:00Z,2013,6,6,2,1,summer,2013-06-06T02:01:00Z,8,2013-06-06,15862
-123.3769079,55.86621445,SC_car168,f,with calf: N,2013-06-07T02:01:00Z,2013,6,7,2,1,summer,2013-06-07T02:01:00Z,8,2013-06-07,15863
-123.3767022,55.86642174,SC_car168,f,with calf: N,2013-06-08T02:03:00Z,2013,6,8,2,3,summer,2013-06-08T02:03:00Z,16.033333333333335,2013-06-08,15864
-123.3751276,55.86386576,SC_car168,f,with calf: N,2013-06-09T18:02:00Z,2013,6,9,18,2,summer,2013-06-09T18:02:00Z,8.016666666666667,2013-06-09,15865
-123.3783034,55.86511398,SC_car168,f,with calf: N,2013-06-10T18:01:00Z,2013,6,10,18,1,summer,2013-06-10T18:01:00Z,7.983333333333333,2013-06-10,15866
-123.3772538,55.86728263,SC_car168,f,with calf: N,2013-06-11T18:01:00Z,2013,6,11,18,1,summer,2013-06-11T18:01:00Z,7.983333333333333,2013-06-11,15867
-123.3767942,55.86601713,SC_car168,f,with calf: N,2013-06-12T02:01:00Z,2013,6,12,2,1,summer,2013-06-12T02:01:00Z,8,2013-06-12,15868
-123.3523829,55.8506079,SC_car168,f,with calf: N,2013-06-13T10:01:00Z,2013,6,13,10,1,summer,2013-06-13T10:01:00Z,8,2013-06-13,15869
-123.351087,55.85037799,SC_car168,f,with calf: N,2013-06-14T18:01:00Z,2013,6,14,18,1,summer,2013-06-14T18:01:00Z,8,2013-06-14,15870
-123.3529248,55.85048056,SC_car168,f,with calf: N,2013-06-15T02:01:00Z,2013,6,15,2,1,summer,2013-06-15T02:01:00Z,8,2013-06-15,15871
