event.id,timestamp,location.long,location.lat,DOP,FixType,comments,study.specific.measurement,sensor.type,individual.taxon.canonical.name,tag.local.identifier,individual.local.identifier,study.name,date
2269721520,03:10.0,-122.0861896,55.34541398,7.9,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269721617,03:10.0,-122.2506672,55.50110241,1.8,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269721687,03:10.0,-122.4853209,55.45560487,2.6,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269721731,NA,-122.5212159,55.4464322,4.4,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269721762,03:11.0,-122.1787698,55.25619916,2.2,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:11.0
2269721800,03:10.0,-122.186436,55.26139968,1.2,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269721817,03:11.0,-122.5010499,55.47725401,1.6,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:11.0
2269721867,04:06.0,-122.2048929,55.36697503,1.8,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,04:06.0
2269721940,03:11.0,-122.1683904,55.32299613,1.8,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:11.0
2269721946,03:34.0,-122.2187745,55.368709,1.8,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:34.0
2269722004,03:10.0,-122.2067241,55.37717725,1.6,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:10.0
2269722020,03:54.0,-122.203944,55.37730296,1.4,GPS-2D,Burnt Pine,Winter,gps,Rangifer tarandus,car032,BP_car032,Mountain caribou in British Columbia,03:54.0
2269722047,03:10.0,-122.2072335,55.37680044,1.2,GPS-2D,Burnt Pine,Summer,gps,Rangifer tarandus,car043,BP_car043,Mountain caribou in British Columbia,03:10.0
